Cod. Loc.,Divisões Territoriais,2010
110001,Alta Floresta D'Oeste,41
110002,Ariquemes,"35,9"
110003,Cabixi,"34,1"
110004,Cacoal,"38,7"
110005,Cerejeiras,"38,4"
110006,Colorado do Oeste,"37,8"
110007,Corumbiara,"30,8"
110008,Costa Marques,"36,9"
110009,Espigão D'Oeste,"34,8"
110010,Guajará-Mirim,"39,5"
110011,Jaru,"34,8"
110012,Ji-Paraná,"36,9"
110013,Machadinho D'Oeste,"35,3"
110014,Nova Brasilândia D'Oeste,"37,8"
110015,Ouro Preto do Oeste,37
110018,Pimenta Bueno,37
110020,Porto Velho,37
110025,Presidente Médici,"35,1"
110026,Rio Crespo,"35,7"
110028,Rolim de Moura,"38,6"
110029,Santa Luzia D'Oeste,"36,4"
110030,Vilhena,"37,2"
110032,São Miguel do Guaporé,"41,3"
110033,Nova Mamoré,"33,5"
110034,Alvorada D'Oeste,"39,1"
110037,Alto Alegre dos Parecis,39
110040,Alto Paraíso,"36,2"
110045,Buritis,"35,4"
110050,Novo Horizonte do Oeste,"39,1"
110060,Cacaulândia,"27,3"
110070,Campo Novo de Rondônia,"31,3"
110080,Candeias do Jamari,"31,8"
110090,Castanheiras,"35,2"
110092,Chupinguaia,31
110094,Cujubim,29
110100,Governador Jorge Teixeira,"32,6"
110110,Itapuã do Oeste,"33,1"
110120,Ministro Andreazza,"32,3"
110130,Mirante da Serra,"38,9"
110140,Monte Negro,"34,1"
110143,Nova União,"28,2"
110145,Parecis,"30,8"
110146,Pimenteiras do Oeste,"36,3"
110147,Primavera de Rondônia,"33,5"
110148,São Felipe D'Oeste,"37,5"
110149,São Francisco do Guaporé,"37,6"
110150,Seringueiras,"36,8"
110155,Teixeirópolis,32
110160,Theobroma,"36,4"
110170,Urupá,"40,6"
110175,Vale do Anari,"34,9"
110180,Vale do Paraíso,"37,3"
